x,y,z,freq
-0.0158691,0.896729,-0.103516,5503.9
-0.00634766,0.893555,-0.147217,2.87357
-0.00634766,0.893555,-0.147217,2.77868
-0.0219727,0.932617,-0.104004,3.16401
-0.0219727,0.932617,-0.104004,6.00771
-0.0783691,0.94458,-0.126221,0.536919
-0.0783691,0.94458,-0.126221,2.29484
-0.0471191,0.979248,-0.11499,2.57684
-0.0471191,0.979248,-0.11499,8.24459
0.0222168,1.00684,-0.0964355,7.41142
-0.0090332,1.02686,-0.0783691,6.2933
-0.0090332,1.02686,-0.0783691,3.87109
-0.0524902,1.03394,-0.114502,5.83997
-0.0524902,1.03394,-0.114502,1.72597
-0.0756836,0.994873,-0.125732,2.58877
-0.0756836,0.994873,-0.125732,0.298915
-0.0739746,1.01782,-0.114014,12.2823
-0.00244141,1.0144,-0.137939,2.01465
-0.00244141,1.0144,-0.137939,2.95406
0.0795898,1.01562,-0.0834961,5.60263
0.0795898,1.01562,-0.0834961,2.7446
0.111084,0.995117,-0.107666,4.70611
0.135498,1.00195,-0.097168,7.85409
0.135498,1.00195,-0.097168,4.8291
0.0539551,0.950195,-0.105957,1.20136
0.0539551,0.950195,-0.105957,3.37287
0.00439453,0.931885,-0.102051,7.6551
0.00439453,0.931885,-0.102051,6.40249
-0.0222168,0.881348,-0.139648,4.90042
0.000976562,0.889648,-0.0983887,2.57187
0.000976562,0.889648,-0.0983887,2.71674
-0.0192871,0.884766,-0.127686,6.71484
-0.0192871,0.884766,-0.127686,9.35264
-0.0424805,0.936523,-0.078125,7.92668
-0.0424805,0.936523,-0.078125,1.65504
-0.0888672,0.962646,-0.11792,8.68259
-0.0888672,0.962646,-0.11792,5.46786
-0.0290527,1.01489,-0.090332,0.808009
0.0456543,1.03955,-0.0695801,1.17102
0.0456543,1.03955,-0.0695801,6.4487
-0.00292969,1.05591,-0.0576172,6.59386
-0.00292969,1.05591,-0.0576172,4.89528
-0.0568848,1.04834,-0.113281,0.874363
-0.0791016,1.03369,-0.0981445,2.58025
0.000244141,1.03003,-0.11377,1.66384
0.000244141,1.03003,-0.11377,3.45849
0.0773926,1.03516,-0.0800781,2.14735
0.0773926,1.03516,-0.0800781,2.65707
0.100342,1.02393,-0.0952148,5.61034
0.100342,1.02393,-0.0952148,5.15588
0.126953,1.02197,-0.0947266,3.02434
0.0673828,0.965332,-0.104248,4.16285
0.0673828,0.965332,-0.104248,0.0693218
0.0224609,0.943848,-0.113037,3.623
0.0224609,0.943848,-0.113037,2.97581
-0.0134277,0.894043,-0.134277,2.82764
-0.0134277,0.894043,-0.134277,11.8091
0.000732422,0.907715,-0.0913086,8.45721
-0.0270996,0.905762,-0.130859,6.31461
-0.0270996,0.905762,-0.130859,1.56863
-0.0541992,0.953369,-0.079834,1.10867
-0.0541992,0.953369,-0.079834,3.15695
-0.0957031,0.97583,-0.112061,6.12608
-0.0957031,0.97583,-0.112061,6.74285
-0.0114746,1.05029,-0.0671387,10.9311
-0.0585938,1.03638,-0.118896,1.50286
-0.0585938,1.03638,-0.118896,6.49992
-0.0693359,1.00903,-0.117188,4.15794
-0.0693359,1.00903,-0.117188,3.89152
-0.0576172,1.02905,-0.11499,5.95626
-0.0576172,1.02905,-0.11499,0.453847
-0.0012207,1.02832,-0.124756,2.83988
0.0466309,1.03638,-0.0869141,9.08693
0.0466309,1.03638,-0.0869141,1.94111
0.0649414,1.03052,-0.0969238,1.35031
0.0649414,1.03052,-0.0969238,1.80748
0.105957,1.02661,-0.102295,5.37038
0.105957,1.02661,-0.102295,7.20379
0.0668945,0.961426,-0.102539,1.78202
0.0354004,0.921387,-0.126221,3.21166
0.0354004,0.921387,-0.126221,4.78081
-0.00292969,0.866943,-0.143555,1.17331
-0.00292969,0.866943,-0.143555,2.82034
-0.00317383,0.876709,-0.114258,5.44834
-0.00317383,0.876709,-0.114258,8.2941
-0.0351562,0.882324,-0.138916,4.88502
-0.0917969,0.959961,-0.129639,3.31595
-0.0285645,1.00708,-0.098877,3.62076
-0.0285645,1.00708,-0.098877,0.221467
0.0424805,1.01758,-0.0915527,3.14287
-0.0012207,1.02881,-0.0866699,2.0063
-0.0012207,1.02881,-0.0866699,0.45797
-0.0476074,1.00562,-0.130859,2.16763
-0.0476074,1.00562,-0.130859,5.48024
-0.0615234,0.982422,-0.12793,1.84286
-0.0615234,0.982422,-0.12793,5.49742
-0.0598145,0.995117,-0.134033,0.483525
-0.0598145,0.995117,-0.134033,1.84932
0.000732422,1.00806,-0.138672,1.38148
0.0588379,1.01855,-0.10376,7.98323
0.0588379,1.01855,-0.10376,0.751319
0.0786133,1.0083,-0.0986328,3.61741
0.0786133,1.0083,-0.0986328,4.81519
0.106689,0.998047,-0.10376,3.57192
0.106689,0.998047,-0.10376,5.36642
0.0688477,0.946045,-0.11084,3.45076
0.0273438,0.920166,-0.123535,1.28377
0.00170898,0.882812,-0.114258,2.85006
-0.0476074,0.895264,-0.143799,2.06768
-0.0476074,0.895264,-0.143799,1.90383
-0.078125,0.953613,-0.0983887,4.52562
-0.101562,0.983154,-0.129639,2.06429
-0.101562,0.983154,-0.129639,8.20883
-0.0256348,1.03125,-0.10083,1.86183
-0.0256348,1.03125,-0.10083,1.82426
0.0629883,1.04492,-0.0820312,1.27717
0.0629883,1.04492,-0.0820312,1.33258
0.00463867,1.05737,-0.0705566,0.856291
0.00463867,1.05737,-0.0705566,1.86277
-0.0559082,1.03394,-0.132568,3.94237
-0.0739746,1.01807,-0.119873,9.66047
-0.0739746,1.01807,-0.119873,8.79295
-0.0649414,1.03662,-0.131348,0.3781
-0.0649414,1.03662,-0.131348,2.71148
-0.00170898,1.05029,-0.123779,6.30055
-0.00170898,1.05029,-0.123779,1.63281
0.0595703,1.05933,-0.0874023,1.38655
0.0825195,1.05566,-0.0939941,3.69718
0.079834,0.981445,-0.0925293,157.549
0.079834,0.981445,-0.0925293,0.149944
0.0358887,0.945312,-0.105713,2.12401
0.0078125,0.893555,-0.138916,2.16682
0.0078125,0.893555,-0.138916,5.23552
0.0134277,0.907715,-0.0959473,1.65809
0.0134277,0.907715,-0.0959473,1.6448
-0.0512695,0.919434,-0.121582,1.80928
-0.0512695,0.919434,-0.121582,8.89792
-0.0991211,0.977539,-0.09375,9.29725
-0.118164,1.00366,-0.116455,2.47225
-0.118164,1.00366,-0.116455,5.46201
-0.0219727,1.04785,-0.0856934,2.79058
-0.0219727,1.04785,-0.0856934,0.646429
0.0776367,1.04541,-0.0703125,2.60745
0.0776367,1.04541,-0.0703125,0.464881
0.0270996,1.03979,-0.0549316,6.6351
-0.0456543,1.0127,-0.124268,1.70224
-0.0456543,1.0127,-0.124268,3.4789
-0.090332,1,-0.110596,3.9431
-0.090332,1,-0.110596,0.419083
-0.0812988,1.0144,-0.118896,2.16569
0.0463867,1.0354,-0.0869141,2.08005
0.092041,1.02661,-0.0795898,0.214296
0.126709,0.999023,-0.0952148,2.32909
0.126709,0.999023,-0.0952148,5.01584
0.0808105,0.939941,-0.104004,4.93826
0.0808105,0.939941,-0.104004,5.58986
0.0268555,0.899414,-0.124512,4.65955
0.0268555,0.899414,-0.124512,6.74832
-0.00634766,0.857422,-0.136475,2.39345
-0.00634766,0.857422,-0.136475,4.26478
-0.00805664,0.86499,-0.101807,2.50123
-0.041748,0.887695,-0.121582,4.61829
-0.041748,0.887695,-0.121582,2.06061
-0.0864258,0.946289,-0.0861816,7.79475
-0.0864258,0.946289,-0.0861816,1.0051
-0.123779,0.97583,-0.109131,3.33688
-0.123779,0.97583,-0.109131,0.16402
-0.0378418,1.01855,-0.0895996,0.297143
0.0720215,1.01709,-0.0783691,0.546868
0.0720215,1.01709,-0.0783691,5.29534
0.0439453,1.02173,-0.0686035,4.91129
-0.0644531,0.981201,-0.110107,3.87146
-0.0644531,0.981201,-0.110107,0.659728
-0.0986328,0.995605,-0.130371,2.86454
-0.0986328,0.995605,-0.130371,1.10582
-0.0432129,1.02808,-0.122314,4.07011
0.0390625,1.02539,-0.0957031,2.07342
0.0390625,1.02539,-0.0957031,9.50664
0.0996094,1.02173,-0.0849609,1.42557
0.0996094,1.02173,-0.0849609,6.44649
0.141602,0.990723,-0.110107,4.5661
0.141602,0.990723,-0.110107,3.3456
0.104736,0.924805,-0.102539,3.88111
0.104736,0.924805,-0.102539,1.31365
0.0437012,0.884521,-0.126953,8.88652
0.000732422,0.852783,-0.146729,3.75163
0.000732422,0.852783,-0.146729,0.387654
-0.0151367,0.869385,-0.108887,0.250455
-0.0151367,0.869385,-0.108887,2.38482
-0.0678711,0.88916,-0.122803,3.17525
-0.0678711,0.88916,-0.122803,6.27754
-0.0983887,0.955811,-0.0979004,0.522112
-0.00756836,1.03223,-0.0969238,6.30896
0.0705566,1.03442,-0.081543,5.55189
0.0119629,1.04224,-0.0839844,6.27712
0.0119629,1.04224,-0.0839844,2.90352
-0.0324707,1.01416,-0.141846,3.37756
-0.0324707,1.01416,-0.141846,2.69132
-0.0627441,1.00562,-0.114746,4.38139
-0.0627441,1.00562,-0.114746,0.0634994
-0.0754395,1.03174,-0.132812,9.21917
-0.0317383,1.06885,-0.112061,0.16373
-0.0317383,1.06885,-0.112061,2.13318
0.0317383,1.05786,-0.112549,7.85065
0.0317383,1.05786,-0.112549,5.52375
0.0930176,1.06689,-0.0913086,7.30218
0.0930176,1.06689,-0.0913086,0.033341
0.149414,1.03613,-0.10376,2.77452
0.149414,1.03613,-0.10376,4.14514
0.109375,0.968506,-0.0808105,3.66778
0.0444336,0.916504,-0.132568,3.59843
0.0444336,0.916504,-0.132568,4.83277
